count_point_id,region_id,local_authority_name,road_name,road_category,road_type,is_major_road,latitude,longitude,first_year,last_year
1013,3,Highland,A99,PA,Major,1,58.463949,-3.119246,2008,2022
1020,3,East Ayrshire,A71,PA,Major,1,55.609072,-4.225637,2002,2020
1021,3,East Ayrshire,A735,PA,Major,1,55.610099,-4.498806,2009,2018
1024,3,Scottish Borders,A72,PA,Major,1,55.642795,-3.237622,2001,2025
1029,3,Glasgow City,A80,PA,Major,1,55.867606,-4.192458,2007,2019
1030,3,Stirling,A81,PA,Major,1,56.039926,-4.398093,2003,2011
1042,3,Aberdeen City,A9013,PA,Major,1,57.141231,-2.113177,2007,2011
1046,3,Fife,A92,TA,Major,1,56.440663,-2.932559,2003,2021
1048,3,Fife,A921,PA,Major,1,56.060308,-3.268633,2003,2009
10500,4,Newport,M4,TM,Major,1,51.598777,-2.939841,2000,2025
10502,4,"Rhondda, Cynon, Taff",M4,TM,Major,1,51.515393,-3.402186,2000,2025
10506,4,Isle of Anglesey,A5,PA,Major,1,53.225933,-4.173522,2001,2012
10507,4,Gwynedd,A5,PA,Major,1,53.22635,-4.11032,2000,2021
10517,4,Pembrokeshire,A40,TA,Major,1,51.805121,-4.902367,2000,2023
10520,4,Ceredigion,A44,TA,Major,1,52.410597,-3.912653,2002,2015
10522,4,Swansea,A48,PA,Major,1,51.673175,-3.968207,2003,2016
10526,4,The Vale of Glamorgan,A48,PA,Major,1,51.462409,-3.440869,2006,2023
10535,4,Neath Port Talbot,A465,TA,Major,1,51.666251,-3.808835,2000,2023
10537,4,Merthyr Tydfil,A465,TA,Major,1,51.767993,-3.378118,2001,2021
10547,4,Merthyr Tydfil,A4054,PA,Major,1,51.691126,-3.338167,2001,2014
10548,4,"Rhondda, Cynon, Taff",A470,TA,Major,1,51.597493,-3.324584,2001,2024
1055,3,Moray,A95,TA,Major,1,57.446608,-3.267937,2003,2019
10551,4,Pembrokeshire,A477,TA,Major,1,51.692788,-4.833841,2000,2023
10556,4,Powys,A483,TA,Major,1,52.154766,-3.397574,2002,2016
10576,4,Blaenau Gwent,A467,PA,Major,1,51.768954,-3.164525,2000,2018
10585,4,Bridgend,A473,PA,Major,1,51.500294,-3.571733,2000,2022
10588,4,Pembrokeshire,A478,PA,Major,1,52.029886,-4.638438,2001,2017
10591,4,Ceredigion,A482,PA,Major,1,52.109868,-4.075008,2003,2016
10594,4,Carmarthenshire,A484,PA,Major,1,51.673229,-4.120074,2000,2018
10595,4,Carmarthenshire,A485,PA,Major,1,52.091614,-4.117956,2002,2015
10597,4,Powys,A488,PA,Major,1,52.291457,-3.247676,2003,2012
10603,4,Gwynedd,A498,PA,Major,1,53.010653,-4.10574,2002,2020
10608,4,Wrexham,A525,PA,Major,1,53.029295,-2.970644,2003,2023
10609,4,Wrexham,A528,PA,Major,1,52.998464,-2.959224,2000,2024
10614,4,Flintshire,A541,PA,Major,1,53.120472,-3.052342,2002,2016
