count_point_id,hour,observations,mean_flow,median_flow,sd_flow,mean_cars,mean_buses,mean_cycles,peak_index
1013,16,4,157.5,145,21.3,129.5,0.5,0.0,1.173
1013,17,4,167.75,133,52.33,136.5,2.25,1.5,1.2493
1013,7,4,80.75,73,10.14,54.5,0.5,0.5,0.6014
1013,14,4,154.25,122,48.0,123.25,3.0,0.25,1.1488
1013,11,4,134.0,122,18.13,104.25,1.0,0.25,0.998
1013,12,4,144.75,135,29.58,112.75,1.0,0.5,1.078
1013,18,4,113.5,114,12.71,96.75,0.75,0.75,0.8453
1013,8,4,132.75,97,45.53,100.0,2.75,0.25,0.9887
1013,9,4,118.75,94,36.03,92.0,1.25,0.75,0.8844
1013,10,4,112.75,100,22.2,83.75,0.75,0.75,0.8397
1013,13,4,154.5,137,30.56,114.75,1.5,0.0,1.1507
1013,15,4,140.0,146,21.37,110.0,2.0,0.0,1.0427
1020,7,6,191.17,163,59.51,114.33,0.17,0.0,1.2925
1020,9,6,158.67,113,96.33,97.67,1.33,0.33,1.0728
1020,13,6,117.17,106,22.38,75.5,0.17,0.17,0.7922
1020,17,6,197.33,193,46.1,143.0,0.67,0.0,1.3342
1020,8,6,180.0,179,50.94,115.33,0.17,0.0,1.217
1020,10,6,113.17,110,23.46,71.33,0.17,0.0,0.7652
1020,15,6,148.33,139,30.58,88.5,0.17,0.0,1.0029
1020,12,6,118.0,110,15.48,73.67,0.5,0.0,0.7978
1020,16,6,182.33,180,39.6,109.0,0.17,0.0,1.2328
1020,11,6,115.0,106,23.44,76.17,1.0,0.17,0.7775
1020,14,6,130.33,132,17.15,80.83,0.83,0.0,0.8812
1020,18,6,123.33,106,38.13,91.5,0.83,0.0,0.8339
1024,8,7,166.71,162,53.38,119.71,4.14,0.57,1.1451
1024,12,7,146.14,121,40.86,109.43,1.29,1.29,1.0038
1024,18,7,111.57,113,29.35,94.57,1.14,0.0,0.7664
1024,10,7,129.43,109,47.86,88.86,1.29,0.57,0.889
1024,17,7,159.29,140,51.35,127.86,1.0,1.14,1.0941
1024,9,7,128.14,124,36.19,89.14,2.43,1.0,0.8802
1024,11,7,136.43,129,42.23,99.0,0.57,0.57,0.9371
1024,13,7,150.43,141,45.45,107.29,2.0,1.14,1.0333
1024,14,7,154.0,154,32.83,113.71,1.86,0.57,1.0578
1024,16,7,174.29,156,49.83,132.71,2.14,0.43,1.1972
1024,7,7,114.14,110,37.89,64.71,2.57,0.0,0.784
1024,15,7,176.43,148,65.45,128.71,3.71,0.0,1.2119
1029,8,4,435.75,276,255.4,359.0,17.0,1.75,1.503
1029,11,4,258.25,230,44.81,191.75,13.75,1.0,0.8908
1029,18,4,273.5,247,37.21,245.5,8.75,2.5,0.9434
1029,9,4,245.75,166,121.66,186.5,12.5,0.75,0.8477
1029,10,4,212.75,178,61.63,150.25,13.75,1.0,0.7338
1029,12,4,254.75,234,49.56,197.75,13.25,0.5,0.8787
1029,13,4,214.75,183,53.3,164.25,12.0,1.25,0.7407
1029,7,4,321.0,134,229.92,243.25,11.5,3.0,1.1072
1029,14,4,281.0,280,27.19,218.5,13.0,0.5,0.9692
1029,15,4,301.25,287,32.68,241.5,13.25,0.5,1.0391
1029,16,4,323.5,297,72.38,261.5,14.0,1.0,1.1158
1029,17,4,356.75,315,78.94,305.5,13.0,3.0,1.2305
1030,7,4,104.25,86,38.92,84.5,0.0,0.0,1.2827
1030,9,4,68.25,66,6.65,58.0,0.0,0.25,0.8398
1030,10,4,68.0,61,16.63,52.5,1.0,0.25,0.8367
1030,13,4,59.75,59,11.44,51.0,0.25,0.25,0.7352
1030,15,4,76.0,65,20.35,62.0,0.5,0.25,0.9351
1030,11,4,58.0,57,3.74,44.0,0.75,0.5,0.7137
1030,18,4,91.0,80,16.99,78.5,0.5,0.25,1.1197
1030,8,4,116.5,101,23.61,98.75,0.0,0.0,1.4335
1030,12,4,56.5,56,6.86,49.5,0.0,0.0,0.6952
1030,14,4,72.0,71,13.93,56.5,0.5,0.0,0.8859
1030,16,4,88.25,84,17.25,68.75,1.0,0.25,1.0859
1030,17,4,116.75,104,25.32,96.0,1.0,0.5,1.4366
10502,8,40,3304.58,3372,559.21,2554.1,7.03,0.08,1.2396
10502,10,40,2130.18,2109,360.99,1483.6,10.93,0.08,0.7991
10502,13,40,2292.58,2263,418.09,1657.13,7.13,0.08,0.86
10502,18,40,2415.83,2356,617.99,2091.8,8.05,0.13,0.9062
10502,7,40,3373.35,3116,794.72,2459.93,7.7,0.03,1.2654
10502,12,40,2175.55,2091,453.82,1560.5,5.6,0.18,0.8161
10502,11,40,2127.75,2176,372.09,1491.88,7.25,0.05,0.7982
10502,14,40,2396.8,2368,447.56,1726.3,10.03,0.08,0.8991
10502,15,40,2660.58,2546,541.45,1968.23,9.85,0.03,0.998
10502,17,40,3387.73,3435,692.13,2907.6,8.58,0.18,1.2708
10502,9,40,2386.75,2407,461.06,1700.55,13.38,0.1,0.8953
10502,16,40,3338.45,3381,597.82,2626.48,10.25,0.15,1.2523
10520,14,8,135.63,142,23.35,103.25,1.88,0.25,1.1338
10520,8,8,120.25,110,32.75,81.25,1.75,0.13,1.0052
10520,11,8,123.38,112,24.47,85.25,0.75,0.0,1.0314
10520,12,8,128.5,124,31.8,88.5,0.88,0.25,1.0742
10520,18,8,92.38,90,19.12,75.5,0.5,0.38,0.7722
10520,7,8,60.63,62,19.11,37.38,0.13,0.25,0.5068
10520,9,8,119.38,112,18.35,81.88,1.0,0.0,0.9979
10520,15,8,124.88,127,19.88,90.5,1.75,0.0,1.0439
10520,10,8,120.5,109,32.29,83.0,1.25,0.13,1.0073
10520,13,8,136.63,135,24.07,102.5,1.0,0.13,1.1421
10520,16,8,144.63,133,21.79,109.0,2.88,0.13,1.209
10520,17,8,128.75,120,22.56,102.63,1.25,0.5,1.0763
10522,7,8,284.38,276,38.78,243.75,3.38,1.25,0.9006
10522,8,8,472.25,445,91.68,413.0,3.5,1.38,1.4955
10522,11,8,239.75,248,70.51,195.75,1.38,0.38,0.7592
10522,12,8,257.5,243,59.86,214.88,1.5,0.13,0.8155
10522,9,8,263.25,275,45.15,212.75,2.63,0.25,0.8337
10522,15,8,370.25,299,152.87,327.88,2.88,0.75,1.1725
10522,18,8,253.5,236,81.66,231.88,1.25,1.25,0.8028
10522,13,8,268.75,260,79.67,230.88,1.0,0.13,0.8511
10522,17,8,450.63,364,199.1,412.88,2.25,1.5,1.4271
